,Player,Year,Club
1716,Ayoub Amraoui,2022,Maroc -20 ans
1717,Ayoub Amraoui,2023-,Maroc -23 ans
1718,Amine Gouiri,2007-2011,
1719,Amine Gouiri,2011-2013,
1720,Amine Gouiri,2013-2017,Olympique lyonnais
1721,Amine Gouiri,2017-2020,Olympique lyonnais
1722,Amine Gouiri,2020-2022,OGC Nice
1723,Amine Gouiri,2022-,Stade rennais FC
1724,Amine Gouiri,2016,France -16 ans
1725,Amine Gouiri,2016-2017,France -17 ans
1726,Amine Gouiri,2017-2018,France -18 ans
1727,Amine Gouiri,2018,France -19 ans
1728,Amine Gouiri,2019,France -20 ans
1729,Amine Gouiri,2019-,France espoirs
1730,Calvin Stengs,-2009,HFC Haarlem
1731,Calvin Stengs,2009-2016,AZ Alkmaar
1732,Calvin Stengs,2016-2021,AZ Alkmaar
1733,Calvin Stengs,2021-,OGC Nice
1734,Calvin Stengs,2022-2023,Royal Antwerp
1735,Calvin Stengs,2019-2021,Pays-Bas espoirs
1736,Calvin Stengs,2019-,Pays-Bas
1737,Marcin Bu?ka,-2016,
1738,Marcin Bu?ka,2016-2019,Chelsea FC
1739,Marcin Bu?ka,2019-2022,Paris SG
1740,Marcin Bu?ka,2020-2021,FC Cartagena
1741,Marcin Bu?ka,2021,LB Châteauroux
1742,Marcin Bu?ka,2021-2022,OGC Nice
1743,Marcin Bu?ka,2022-,OGC Nice
1744,Marcin Bu?ka,2017,Pologne -18 ans
1745,Marcin Bu?ka,2017,Pologne -19 ans
1746,Marcin Bu?ka,2018-2019,Pologne -20 ans
1747,Marcin Bu?ka,2020-,Pologne espoirs
1748,Joe Bryan,2009-2011,Bristol City
1749,Joe Bryan,2011-2018,Bristol City
1750,Joe Bryan,2011-2012,Bath City
1751,Joe Bryan,2013,Plymouth Argyle
1752,Joe Bryan,2018-2023,Fulham FC
1753,Joe Bryan,2022-2023,OGC Nice
1754,Joe Bryan,2023-,Millwall FC
1755,Rare? Ilie,2020-2022,Rapid Bucarest
1756,Rare? Ilie,2022-,OGC Nice
1757,Rare? Ilie,2023-,Maccabi Tel-Aviv
1758,Rare? Ilie,2023-,Lausanne-Sport
1759,Rare? Ilie,2021,Roumanie -18 ans
1760,Rare? Ilie,2021-,Roumanie -19 ans
1761,Rare? Ilie,2021-,Roumanie espoirs
1762,Flavius Daniliuc,-2010,Admira Wacker
1763,Flavius Daniliuc,2010-2011,Rapid Vienne
1764,Flavius Daniliuc,2011-2015,Real Madrid
1765,Flavius Daniliuc,2012,FC Liefering
1766,Flavius Daniliuc,2014,DFI Bad Aibling
1767,Flavius Daniliuc,2015-2019,Bayern Munich
1768,Flavius Daniliuc,2019-2020,Bayern Munich II
1769,Flavius Daniliuc,2020-2022,OGC Nice
1770,Flavius Daniliuc,2022-,US Salernitana
1771,Flavius Daniliuc,2015-2016,Autriche -15 ans
1772,Flavius Daniliuc,2016-2017,Autriche -16 ans
1773,Flavius Daniliuc,2017,Autriche -17 ans
1774,Flavius Daniliuc,2018,Autriche -18 ans
1775,Flavius Daniliuc,2019,Autriche -19 ans
1776,Flavius Daniliuc,2021-,Autriche espoirs
1777,Flavius Daniliuc,2023-,Autriche
1778,Alexis Claude-Maurice,2014-2017,FC Lorient
1779,Alexis Claude-Maurice,2017-2019,FC Lorient
1780,Alexis Claude-Maurice,2019-,OGC Nice
1781,Alexis Claude-Maurice,2022- 2023,RC Lens
1782,Alexis Claude-Maurice,2015-2016,France - 18 ans
1783,Alexis Claude-Maurice,2016-2017,France - 19 ans
1784,Alexis Claude-Maurice,2017,France - 20 ans
1785,Alexis Claude-Maurice,2021,France espoirs
1786,Mads Bech Sørensen,2015-2017,AC Horsens
1787,Mads Bech Sørensen,2017-,Brentford FC
1788,Mads Bech Sørensen,2020,AFC Wimbledon
1789,Mads Bech Sørensen,2022,OGC Nice
1790,Mads Bech Sørensen,2023-,FC Groningue
1791,Mads Bech Sørensen,2016-2017,Danemark -17 ans
1792,Mads Bech Sørensen,2017-2018,Danemark -19 ans
1793,Mads Bech Sørensen,2019,Danemark -20 ans
1794,Mads Bech Sørensen,2019-2021,Danemark espoirs
1795,Montassar Talbi,2003-2006,Paris FC
1796,Montassar Talbi,2006-2010,FC Les Lilas
1797,Montassar Talbi,2010-2016,ES Tunis
1798,Montassar Talbi,2016-2018,ES Tunis
1799,Montassar Talbi,2018-2021,Çaykur Rizespor
1800,Montassar Talbi,2021,Benevento Calcio
1801,Montassar Talbi,2021-2022,Rubin Kazan
1802,Montassar Talbi,2022-,FC Lorient
1803,Montassar Talbi,2018,Tunisie olympique
1804,Montassar Talbi,2021-,Tunisie
1805,Vincent Le Goff,2002-2004,CFP Ploufragan
1806,Vincent Le Goff,2004-2009,FC Nantes
1807,Vincent Le Goff,2009-2010,Stade lavallois
1808,Vincent Le Goff,2010,Stade lavallois
1809,Vincent Le Goff,2010-2011,La Vitréenne FC
1810,Vincent Le Goff,2011-2013,Le Poiré-sur-Vie VF
1811,Vincent Le Goff,2013-2014,FC Istres OP
1812,Vincent Le Goff,2014-,FC Lorient
1813,Enzo Le Fée,2004-2008,VFL Keryado
1814,Enzo Le Fée,2008-2018,FC Lorient
1815,Enzo Le Fée,2018-2023,FC Lorient
1816,Enzo Le Fée,2023-,Stade rennais FC
1817,Enzo Le Fée,2019,France -20 ans
1818,Enzo Le Fée,2021,France olympique
1819,Enzo Le Fée,2021-,France espoirs
1820,Gedeon Kalulu,2007-2013,Olympique lyonnais
1821,Gedeon Kalulu,2013-2014,AS Saint-Priest
1822,Gedeon Kalulu,2014-2019,Olympique lyonnais
1823,Gedeon Kalulu,2018-2019,Olympique lyonnais
1824,Gedeon Kalulu,2018-2019,Bourg-en-Bresse 01
1825,Gedeon Kalulu,2019-2022,AC Ajaccio
1826,Gedeon Kalulu,2022-,FC Lorient
1827,Gedeon Kalulu,2020-,RD Congo
1828,Laurent Abergel,2013-2015,Olympique de Marseille
1829,Laurent Abergel,2014-2015,AC Ajaccio
1830,Laurent Abergel,2015-2017,AC Ajaccio
1831,Laurent Abergel,2017-2019,AS Nancy-Lorraine
1832,Laurent Abergel,2019-,FC Lorient
1833,Julien Ponceau,2013-2015,US Concarneau
1834,Julien Ponceau,2015-2018,FC Lorient
1835,Julien Ponceau,2018-,FC Lorient
1836,Julien Ponceau,2020-2021,Rodez AF
1837,Julien Ponceau,2021-2022,Nîmes Olympique
1838,Julien Ponceau,2018,France -18 ans
1839,Julien Ponceau,2018-2019,France -19 ans
1840,Julien Ponceau,2019,France -20 ans
1841,Dango Ouattara,,
1842,Dango Ouattara,2020-2021,FC Lorient
1843,Dango Ouattara,2021-2023,FC Lorient
1844,Dango Ouattara,2023-,AFC Bournemouth
1845,Dango Ouattara,2021-,Burkina Faso
1846,Julien Laporte,2004-2011,Aurillac FCA
1847,Julien Laporte,2006-2008,
1848,Julien Laporte,2011-2015,Clermont Foot 63
1849,Julien Laporte,2015-2019,Clermont Foot 63
1850,Julien Laporte,2019-,FC Lorient
1851,Vito Mannone,2006-2013,Arsenal FC
1852,Vito Mannone,2006-2007,Barnsley FC
1853,Vito Mannone,2010-2012,Hull City
1854,Vito Mannone,2013-2017,Sunderland AFC
1855,Vito Mannone,2017-2020,Reading FC
1856,Vito Mannone,2019,Minnesota United
1857,Vito Mannone,2020,Esbjerg fB
1858,Vito Mannone,2020-2022,AS Monaco
1859,Vito Mannone,2022-,FC Lorient
1860,Vito Mannone,2009-2010,Italie espoirs
1861,Yvon Mvogo,2006-2010,FC Fribourg
1862,Yvon Mvogo,2010-2013,BSC Young Boys
1863,Yvon Mvogo,2013-2017,BSC Young Boys
1864,Yvon Mvogo,2017-2022,RB Leipzig
1865,Yvon Mvogo,2020-2022,PSV Eindhoven
1866,Yvon Mvogo,2022-,FC Lorient
1867,Yvon Mvogo,2011,Suisse -17 ans
1868,Yvon Mvogo,2012-2013,Suisse -19 ans
1869,Yvon Mvogo,2015,Suisse -20 ans
1870,Yvon Mvogo,2013-2016,Suisse espoirs
1871,Yvon Mvogo,2014-,Suisse
1872,Terem Moffi,2017,FK Kauno Žalgiris
1873,Terem Moffi,2019,FK Riteriai
1874,Terem Moffi,2020,KV Courtrai
1875,Terem Moffi,2020-,FC Lorient
1876,Terem Moffi,2023-,OGC Nice
1877,Théo Le Bris,2013-2017,CPB Bréquigny
1878,Théo Le Bris,2015-2017,P.E. Ploufragan
1879,Théo Le Bris,2017-2021,FC Lorient
1880,Théo Le Bris,2021-,FC Lorient
1881,Théo Le Bris,2022-,France -20 ans
1882,Stéphane Diarra,-2016,Évian TG
1883,Stéphane Diarra,2016,Évian TG
1884,Stéphane Diarra,2016-2019,Stade rennais FC
1885,Stéphane Diarra,2018-2019,Le Mans FC
1886,Stéphane Diarra,2019-2020,Le Mans FC
1887,Stéphane Diarra,2020-,FC Lorient
1888,Bamo Meïté,-2018,US Créteil-Lusitanos
1889,Bamo Meïté,2018-2019,
1890,Bamo Meïté,2019-2020,Stade lavallois
1891,Bamo Meïté,2020-2021,Stade lavallois
1892,Bamo Meïté,2021-,FC Lorient
1893,Bonke Innocent,2014-2017,Lillestrøm SK
1894,Bonke Innocent,2017-2022,Malmö FF
1895,Bonke Innocent,2022-,FC Lorient
1896,Bonke Innocent,2021-,Nigeria
1897,Ibrahima Koné,2017-2018,CO Bamako
1898,Ibrahima Koné,2018-2020,FK Haugesund
1899,Ibrahima Koné,2020,Adana Demirspor
1900,Ibrahima Koné,2021-2022,Sarpsborg 08 FF
1901,Ibrahima Koné,2022-,FC Lorient
1902,Ibrahima Koné,2017-2019,Mali -20 ans
1903,Ibrahima Koné,2019,
1904,Ibrahima Koné,2017-,Mali
1905,Yoann Cathline,2019-2020,EA Guingamp
1906,Yoann Cathline,2021-2022,EA Guingamp
1907,Yoann Cathline,2022-,FC Lorient
1908,Yoann Cathline,2021-,France -20 ans
1909,Romain Faivre,2007-2014,RC de France
1910,Romain Faivre,2014-2017,Tours FC
1911,Romain Faivre,2017-2018,AS Monaco
1912,Romain Faivre,2018-2020,AS Monaco
1913,Romain Faivre,2020-2022,Stade brestois 29
1914,Romain Faivre,2022-2023,Olympique lyonnais
1915,Romain Faivre,2023,FC Lorient
1916,Romain Faivre,2023-,AFC Bournemouth
1917,Romain Faivre,2023-,FC Lorient
1918,Romain Faivre,2020-2021,France espoirs
1919,Jean-Victor Makengo,2004-2009,
1920,Jean-Victor Makengo,2009-2010,
1921,Jean-Victor Makengo,2011-2015,SM Caen
1922,Jean-Victor Makengo,2015-2017,SM Caen
1923,Jean-Victor Makengo,2017-2020,OGC Nice
1924,Jean-Victor Makengo,2019-2020,Toulouse FC
1925,Jean-Victor Makengo,2020-2023,Udinese Calcio
1926,Jean-Victor Makengo,2023-,FC Lorient
1927,Jean-Victor Makengo,2014,France -16 ans
1928,Jean-Victor Makengo,2014-2015,France -17 ans
1929,Jean-Victor Makengo,2016,France -18 ans
1930,Jean-Victor Makengo,2016,France -19 ans
1931,Jean-Victor Makengo,2017-2018,France -20 ans
1932,Jean-Victor Makengo,2019,France espoirs
1933,Bamba Dieng,2010-2014,ASC Sonacos
1934,Bamba Dieng,2014-2019,Diambars FC
1935,Bamba Dieng,2019-2020,Diambars FC
1936,Bamba Dieng,2020-2021,Olympique de Marseille
1937,Bamba Dieng,2021-2023,Olympique de Marseille
1938,Bamba Dieng,2023-,FC Lorient
1939,Bamba Dieng,2016,Sénégal -17 ans
1940,Bamba Dieng,2021-,Sénégal
1941,Darlin Yongwa,-2018,Brasseries du Cameroun
1942,Darlin Yongwa,2018-2019,Chamois niortais FC
1943,Darlin Yongwa,2019-2022,Chamois niortais FC
1944,Darlin Yongwa,2022-,FC Lorient
1945,Darlin Yongwa,2022-,Cameroun
1946,Igor Carioca,2015-2016,PAE Asteras Tripolis
1947,Igor Carioca,2016-2018,PAE Asteras Tripolis
1948,Igor Carioca,2018-2020,Olympiakos
1949,Igor Carioca,2018-2019,AEK Larnaca
1950,Igor Carioca,2019-2020,NK Osijek
1951,Igor Carioca,2020-2021,NK Osijek
1952,Igor Carioca,2021-,FC Lorient
1953,Chrislain Matsima,2014-2017,RCFF Colombes
1954,Chrislain Matsima,2017-2020,AS Monaco
1955,Chrislain Matsima,2020-,AS Monaco
1956,Chrislain Matsima,2022-2023,FC Lorient
1957,Chrislain Matsima,2018,France -16 ans
1958,Chrislain Matsima,2018-2019,France -17 ans
1959,Chrislain Matsima,2019-2020,France -18 ans
1960,Chrislain Matsima,2021-,France -20 ans
1961,Adil Aouchiche,2014-2019,Paris Saint-Germain
1962,Adil Aouchiche,2019-2020,Paris Saint-Germain
1963,Adil Aouchiche,2020-2022,AS Saint-Étienne
1964,Adil Aouchiche,2022-,FC Lorient
1965,Adil Aouchiche,2018,France -16 ans
1966,Adil Aouchiche,2018-2019,France -17 ans
1967,Adil Aouchiche,2019,France -18 ans
1968,Adil Aouchiche,2021-,France -20 ans
1969,Quentin Boisgard,2015-2020,Toulouse FC
1970,Quentin Boisgard,2018-2019,Pau FC
1971,Quentin Boisgard,2020-,FC Lorient
1972,Quentin Boisgard,2023-,Pau FC
1973,Ckene Doucouré,-2018,AS Real Bamako
1974,Ckene Doucouré,2018,RC Lens
1975,Ckene Doucouré,2018-2022,RC Lens
1976,Ckene Doucouré,2022-,Crystal Palace
1977,Ckene Doucouré,2018,Mali U17
1978,Ckene Doucouré,2018-,Mali
1979,Ayman Kari,2014-2017,
1980,Ayman Kari,2017-2023,Paris Saint-Germain
1981,Ayman Kari,2023-,Paris Saint-Germain
1982,Ayman Kari,2023-,FC Lorient
1983,Ayman Kari,2021-2022,France -18 ans
1984,Ayman Kari,2022-,France -19 ans
1985,Adrian Grbi?,2002-2003,
1986,Adrian Grbi?,2004-2012,Rapid Vienne
1987,Adrian Grbi?,2012-2016,VfB Stuttgart
1988,Adrian Grbi?,2016-2017,Floridsdorfer AC
1989,Adrian Grbi?,2017-2019,SCR Altach
1990,Adrian Grbi?,2019-2020,Clermont Foot 63
1991,Adrian Grbi?,2020-,FC Lorient
1992,Adrian Grbi?,2022,Vitesse Arnhem
1993,Adrian Grbi?,2023,Valenciennes FC
1994,Adrian Grbi?,2011,
1995,Adrian Grbi?,2012-2013,Autriche -17 ans
1996,Adrian Grbi?,2014,
1997,Adrian Grbi?,2014-2015,
1998,Adrian Grbi?,2017-2019,Autriche espoirs
1999,Adrian Grbi?,2020-,Autriche
2000,Paul Nardi,2003-2006,Vesoul HSF
2001,Paul Nardi,2006-2013,AS Nancy-Lorraine
2002,Paul Nardi,2013-2014,AS Nancy-Lorraine
2003,Paul Nardi,2015-2019,AS Monaco
2004,Paul Nardi,2014-2015,AS Nancy-Lorraine
2005,Paul Nardi,2016,Stade rennais FC
2006,Paul Nardi,2017-2019,Cercle Bruges KSV
2007,Paul Nardi,2019-2022,FC Lorient
2008,Paul Nardi,2022-,KAA La Gantoise
2009,Paul Nardi,2011,France -17 ans
2010,Paul Nardi,2011,France -18 ans
2011,Paul Nardi,2012,France -19 ans
2012,Paul Nardi,2013-2014,France -20 ans
2013,Paul Nardi,2015,France espoirs
2014,Pablo Pagis,2012-2018,Stade rennais FC
2015,Pablo Pagis,2018-2022,FC Lorient
2016,Pablo Pagis,2022-,FC Lorient
2017,Pablo Pagis,2022-2023,Nîmes Olympique
2018,Léo Pétrot,2012-2019,AS Saint-Étienne
2019,Léo Pétrot,2019-2021,Andrézieux-Bouthéon FC
2020,Léo Pétrot,2021-2022,FC Lorient
2021,Léo Pétrot,2022-,AS Saint-Étienne
2022,Julian Pollersbeck,2010-2013,SV Wacker Burghausen
2023,Julian Pollersbeck,2013-2016,1. FC Kaiserslautern
2024,Julian Pollersbeck,2016-2017,1. FC Kaiserslautern
2025,Julian Pollersbeck,2017-2020,Hambourg SV
2026,Julian Pollersbeck,2020-2023,Olympique lyonnais
2027,Julian Pollersbeck,2023,FC Lorient
2028,Julian Pollersbeck,2023-,1. FC Magdebourg
2029,Julian Pollersbeck,2016-2017,Allemagne espoirs
2030,Yunis Abdelhamid,2011,AC Arles-Avignon
2031,Yunis Abdelhamid,2011-2014,AC Arles-Avignon
2032,Yunis Abdelhamid,2014-2016,Valenciennes FC
2033,Yunis Abdelhamid,2016-2017,Dijon FCO
2034,Yunis Abdelhamid,2017-,Stade de Reims
2035,Yunis Abdelhamid,2016-,Maroc
2036,Folarin Balogun,-2009,
2037,Folarin Balogun,2009-2020,Arsenal FC
2038,Folarin Balogun,2020-,Arsenal FC
2039,Folarin Balogun,2022,Middlesbrough FC
2040,Folarin Balogun,2022-2023,Stade de Reims
2041,Folarin Balogun,2018,Angleterre -17 ans
2042,Folarin Balogun,2018,États-Unis -18 ans
2043,Folarin Balogun,2018-2019,Angleterre -18 ans
2044,Folarin Balogun,2020,Angleterre -20 ans
2045,Folarin Balogun,2021-2022,Angleterre espoirs
2046,Folarin Balogun,2023-,États-Unis
2047,Junya Ito,2015,Ventforet Kōfu
2048,Junya Ito,2016-2020,Kashiwa Reysol
2049,Junya Ito,2019-2020,KRC Genk
2050,Junya Ito,2020-2022,KRC Genk
2051,Junya Ito,2022-,Stade de Reims
2052,Junya Ito,2017-,Japon
2053,Yehvann Diouf,2017,France -18 ans
2054,Yehvann Diouf,2017-2018,France -19 ans
2055,Yehvann Diouf,2018-2019,France -20 ans
2056,Marshall Munetsi,2017-2019,Orlando Pirates
2057,Marshall Munetsi,2019-,Stade de Reims
2058,Marshall Munetsi,2016-,Zimbabwe
2059,Azor Matusiwa,2011-2013,Almere City
2060,Azor Matusiwa,2013-2018,Ajax Amsterdam
2061,Azor Matusiwa,2016-2019,Jong Ajax
2062,Azor Matusiwa,2018-2019,Ajax Amsterdam
2063,Azor Matusiwa,2019,De Graafschap
2064,Azor Matusiwa,2019-2021,FC Groningue
2065,Azor Matusiwa,2021-,Stade de Reims
2066,Azor Matusiwa,2014,Pays-Bas -16 ans
2067,Azor Matusiwa,2020-2021,Pays-Bas espoirs
2068,Emmanuel Agbadou,-2017,Africa Sports
2069,Emmanuel Agbadou,2017-2019,FC San-Pédro
2070,Emmanuel Agbadou,2019-2020,FC San-Pédro
2071,Emmanuel Agbadou,2019-2020,US Monastir
2072,Emmanuel Agbadou,2020-2022,KAS Eupen
2073,Emmanuel Agbadou,2022-,Stade de Reims
2074,Emmanuel Agbadou,2021-,Côte d’Ivoire
2075,Alexis Flips,2008-2019,LOSC Lille
2076,Alexis Flips,2019-2020,LOSC Lille
2077,Alexis Flips,2019-2020,AC Ajaccio
2078,Alexis Flips,2020-,Stade de Reims
2079,Alexis Flips,2017-2018,France -18 ans
2080,Alexis Flips,2018-2019,France -19 ans
2081,Thomas Foket,2010-2012,Dilbeek Sport
2082,Thomas Foket,2012-2018,KAA La Gantoise
2083,Thomas Foket,2013-2014,KV Ostende
2084,Thomas Foket,2018-,Stade de Reims
2085,Thomas Foket,2012,Belgique -18 ans
2086,Thomas Foket,2012-2013,Belgique -19 ans
2087,Thomas Foket,2014-2016,Belgique espoirs
2088,Thomas Foket,2016-,Belgique
2089,Thibault De Smet,2016-2020,KAA La Gantoise
2090,Thibault De Smet,2019-2020,Saint-Trond VV
2091,Thibault De Smet,2020-,Stade de Reims
2092,Thibault De Smet,2021-,Beerschot VA
2093,Thibault De Smet,2014-2015,Belgique -17 ans
2094,Thibault De Smet,2016-2017,Belgique -19 ans
2095,Thibault De Smet,2019-2020,Belgique espoirs
2096,Dion Lopy,2020,Stade de Reims II
2097,Dion Lopy,2020-,Stade de Reims
2098,Dion Lopy,2019-2021,Sénégal -20 ans
2099,Dion Lopy,2019-2021,Sénégal -23 ans
2100,Dion Lopy,2023-,Sénégal
2101,Kamory Doumbia,2021,Stade de Reims
2102,Kamory Doumbia,2021-,Stade de Reims
2103,Kamory Doumbia,2022-,Mali
2104,Banzouzi Locko,2019-2020,FC Lorient
2105,Banzouzi Locko,2020-,Stade de Reims
2106,Banzouzi Locko,2023,Stade brestois 29
2107,Jens Cajuste,2010-2016,Örgryte IS
2108,Jens Cajuste,2016-2018,Örgryte IS
2109,Jens Cajuste,2018-2022,FC Midtjylland
2110,Jens Cajuste,2022-,Stade de Reims
2111,Jens Cajuste,2019,Suède espoirs
2112,Jens Cajuste,2020-,Suède
2113,Andrew Gravillon,2014-2017,Inter Milan
2114,Andrew Gravillon,2017-2018,Benevento Calcio
2115,Andrew Gravillon,2018-2019,Delfino Pescara
2116,Andrew Gravillon,2019-2022,Inter Milan
2117,Andrew Gravillon,2019,Delfino Pescara
2118,Andrew Gravillon,2019,US Sassuolo
2119,Andrew Gravillon,2019-2020,Ascoli Calcio
2120,Andrew Gravillon,2020-2021,FC Lorient
2121,Andrew Gravillon,2021-2022,Stade de Reims
2122,Andrew Gravillon,2022-,Stade de Reims
2123,Andrew Gravillon,2023-,Torino FC
2124,Andrew Gravillon,2022-,Guadeloupe
2125,Arber Zeneli,2007-2013,IF Elfsborg
2126,Arber Zeneli,2014-2015,IF Elfsborg
2127,Arber Zeneli,2016-2019,SC Heerenveen
2128,Arber Zeneli,2019-,Stade de Reims
2129,Arber Zeneli,2012,Suède -17 ans
2130,Arber Zeneli,2013-2014,Suède -19 ans
2131,Arber Zeneli,2015-2016,Suède espoirs
2132,Arber Zeneli,2016-,Kosovo
2133,Maxime Busi,2013-2018,Saint-Trond VV
2134,Maxime Busi,2018-2020,Charleroi SC
2135,Maxime Busi,2020-2022,Parme Calcio
2136,Maxime Busi,2022,Stade de Reims
2137,Maxime Busi,2022-,Stade de Reims
2138,Maxime Busi,2019-2020,Belgique espoirs
2139,Patrick Pentz,2006-2013,RB Salzbourg
2140,Patrick Pentz,2013-2016,Austria Vienne
2141,Patrick Pentz,2016-2022,Austria Vienne
2142,Patrick Pentz,2022-2023,Stade de Reims
2143,Patrick Pentz,2023-,Bayer Leverkusen
2144,Patrick Pentz,2013,Autriche -17 ans
2145,Patrick Pentz,2018-2019,Autriche espoirs
2146,Patrick Pentz,2022-,Autriche
2147,Check Keita,2011-2014,AS Monaco
2148,Check Keita,2014-2015,Virtus Entella
2149,Check Keita,2015-2017,Virtus Entella
2150,Check Keita,2017-2020,Birmingham City
2151,Check Keita,2017-2018,Bologne FC
2152,Check Keita,2018-2019,KAS Eupen
2153,Check Keita,2021-,HNK Gorica
2154,Mitchell van Bergen,2015-2017,Vitesse Arnhem
2155,Mitchell van Bergen,2015-2018,Vitesse Arnhem
2156,Mitchell van Bergen,2018-2021,SC Heerenveen
2157,Mitchell van Bergen,2021-,Stade de Reims
2158,Mitchell van Bergen,2015-2016,Pays-Bas -17 ans
2159,Mitchell van Bergen,2016-2017,Pays-Bas -19 ans
2160,Mitchell van Bergen,2018,Pays-Bas -20 ans
2161,Mitchell van Bergen,2019-,Pays-Bas espoirs
2162,Wout Faes,2003-2006,
2163,Wout Faes,2006-2012,Lierse SK
2164,Wout Faes,2012-2016,RSC Anderlecht
2165,Wout Faes,2016-2018,RSC Anderlecht
2166,Wout Faes,2017,SC Heerenveen
2167,Wout Faes,2017-2018,Excelsior Rotterdam
2168,Wout Faes,2018-2020,KV Ostende
2169,Wout Faes,2020-2022,Stade de Reims
2170,Wout Faes,2020,KV Ostende
2171,Wout Faes,2022-,Leicester City
2172,Wout Faes,2013,Belgique -15 ans
2173,Wout Faes,2013-2015,Belgique -17 ans
2174,Wout Faes,2016-2017,Belgique -19 ans
2175,Wout Faes,2017-2020,Belgique espoirs
2176,Wout Faes,2022-,Belgique
2177,Myziane Maolida,2014-2016,Olympique lyonnais
2178,Myziane Maolida,2016-2018,Olympique lyonnais
2179,Myziane Maolida,2018-2021,OGC Nice
2180,Myziane Maolida,2021-,Hertha BSC
2181,Myziane Maolida,2023-,Stade de Reims
2182,Myziane Maolida,2015,France -16 ans
2183,Myziane Maolida,2015-2016,France -17 ans
2184,Myziane Maolida,2016-2017,France -18 ans
2185,Myziane Maolida,2017-2018,France -19 ans
2186,Myziane Maolida,2018,France -20 ans
2187,Noah Holm,,FK Fyllingsdalen
2188,Noah Holm,-2017,Strømsgodset IF
2189,Noah Holm,2017-2020,RB Leipzig
2190,Noah Holm,2020-2021,Vitória SC
2191,Noah Holm,2021-2022,Rosenborg BK
2192,Noah Holm,2022-,Stade de Reims
2193,Noah Holm,2018,Norvège -17 ans
2194,Noah Holm,2019,Norvège -18 ans
2195,Noah Holm,2019,Norvège -19 ans
2196,Noah Holm,2019-,Norvège espoirs
2197,Ibrahim Diakité,avant 2021,Stade de Reims
2198,Ibrahim Diakité,2021-,Stade de Reims
2199,Ibrahim Diakité,2023,KAS Eupen
2200,Ibrahim Diakité,2022-,Guinée
2201,Valentin Atangana Edoa,2023-,Stade de Reims
2202,Valentin Atangana Edoa,2021-2022,France -17 ans
2203,El Bilal Touré,2015-2016,Ivoire Académie FC
2204,El Bilal Touré,2020-2022,Stade de Reims
2205,El Bilal Touré,2022-,UD Almería
2206,El Bilal Touré,2019,Mali - 20 ans
2207,El Bilal Touré,2019-,Mali - 23 ans
2208,El Bilal Touré,2020-,Mali
2209,Kaj Sierhuis,2014-2018,Ajax Amsterdam
2210,Kaj Sierhuis,2018-2020,Ajax Amsterdam
2211,Kaj Sierhuis,2019-2020,FC Groningen
2212,Kaj Sierhuis,2020-,Stade de Reims
2213,Kaj Sierhuis,2021-2022,Heracles Almelo
2214,Kaj Sierhuis,2019-2020,Pays-Bas -20 ans
2215,Kaj Sierhuis,2020-2022,Pays-Bas espoirs
2216,Martin Adeline,2012-2018,RC Épernay Champagne
2217,Martin Adeline,2018-2020,Paris Saint-Germain
2218,Martin Adeline,2020-2021,Stade de Reims
2219,Martin Adeline,2020-2022,Stade de Reims
2220,Martin Adeline,2021-,Stade de Reims
2221,Martin Adeline,2023-,Rodez AF
2222,Martin Adeline,2021,France -18 ans
2223,Martin Adeline,2021-2022,France -19 ans
2224,Nathanael Mbuku,2009-2011,
2225,Nathanael Mbuku,2011-2012,UJA Maccabi Paris
